timestamp_4h,fcr_price_eur_mw_4h,afrr_pos_price_eur_mw_4h,allocated_market,coopt_rev_eur
2026-08-01 00:00:00,58.69,48.69,FCR,586.9
2026-08-01 04:00:00,54.48,41.07,FCR,544.8
2026-08-01 08:00:00,68.82,57.79,FCR,688.1999999999999
2026-08-01 12:00:00,83.92,82.78,aFRR,951.9699999999999
2026-08-01 16:00:00,57.05,59.41,aFRR,683.2149999999998
2026-08-01 20:00:00,42.79,45.46,aFRR,522.79
2026-08-02 00:00:00,55.22,31.4,FCR,552.2
2026-08-02 04:00:00,79.17,52.46,FCR,791.7
2026-08-02 08:00:00,78.52,63.95,FCR,785.1999999999999
2026-08-02 12:00:00,65.66,91.63,aFRR,1053.745
2026-08-02 16:00:00,57.35,54.42,aFRR,625.83
2026-08-02 20:00:00,33.26,47.19,aFRR,542.685
2026-08-03 00:00:00,59.9,47.49,FCR,599.0
2026-08-03 04:00:00,54.57,60.77,aFRR,698.855
2026-08-03 08:00:00,97.35,56.55,FCR,973.5
2026-08-03 12:00:00,80.67,72.79,aFRR,837.085
2026-08-03 16:00:00,58.07,63.58,aFRR,731.1699999999998
2026-08-03 20:00:00,56.79,46.87,FCR,567.9
2026-08-04 00:00:00,74.99,40.54,FCR,749.9
2026-08-04 04:00:00,87.17,46.94,FCR,871.7
2026-08-04 08:00:00,62.91,68.24,aFRR,784.7599999999999
2026-08-04 12:00:00,59.65,59.73,aFRR,686.8949999999999
2026-08-04 16:00:00,47.5,58.83,aFRR,676.5449999999998
2026-08-04 20:00:00,45.31,38.0,FCR,453.1
2026-08-05 00:00:00,61.21,56.95,aFRR,654.925
2026-08-05 04:00:00,66.29,29.77,FCR,662.9000000000001
2026-08-05 08:00:00,87.24,51.91,FCR,872.4
2026-08-05 12:00:00,65.94,73.77,aFRR,848.3549999999999
2026-08-05 16:00:00,47.66,73.16,aFRR,841.3399999999998
2026-08-05 20:00:00,28.12,44.34,aFRR,509.91
2026-08-06 00:00:00,43.92,39.45,aFRR,453.67499999999995
2026-08-06 04:00:00,58.78,63.81,aFRR,733.8149999999999
2026-08-06 08:00:00,73.29,43.02,FCR,732.9000000000001
2026-08-06 12:00:00,87.64,48.01,FCR,876.4
2026-08-06 16:00:00,43.61,61.9,aFRR,711.8499999999999
2026-08-06 20:00:00,76.59,39.98,FCR,765.9000000000001
2026-08-07 00:00:00,60.92,34.79,FCR,609.2
2026-08-07 04:00:00,77.22,52.08,FCR,772.2
2026-08-07 08:00:00,74.7,59.94,FCR,747.0
2026-08-07 12:00:00,83.4,64.36,FCR,834.0
2026-08-07 16:00:00,48.09,44.7,aFRR,514.05
2026-08-07 20:00:00,46.46,53.72,aFRR,617.78
2026-08-08 00:00:00,85.72,51.5,FCR,857.2
2026-08-08 04:00:00,73.85,44.01,FCR,738.5
2026-08-08 08:00:00,98.79,75.97,FCR,987.9000000000001
2026-08-08 12:00:00,66.56,59.3,aFRR,681.9499999999999
2026-08-08 16:00:00,54.58,42.24,FCR,545.8
2026-08-08 20:00:00,66.25,38.08,FCR,662.5
2026-08-09 00:00:00,47.48,44.54,aFRR,512.2099999999999
2026-08-09 04:00:00,96.75,47.43,FCR,967.5
2026-08-09 08:00:00,93.49,55.09,FCR,934.9
2026-08-09 12:00:00,68.25,73.52,aFRR,845.4799999999999
2026-08-09 16:00:00,62.59,44.98,FCR,625.9000000000001
2026-08-09 20:00:00,56.67,59.44,aFRR,683.56
2026-08-10 00:00:00,62.46,44.18,FCR,624.6
2026-08-10 04:00:00,56.16,56.17,aFRR,645.955
2026-08-10 08:00:00,76.27,60.93,FCR,762.6999999999999
2026-08-10 12:00:00,72.03,74.57,aFRR,857.5549999999998
2026-08-10 16:00:00,54.11,63.2,aFRR,726.8
2026-08-10 20:00:00,52.45,49.48,aFRR,569.0199999999999
2026-08-11 00:00:00,57.13,51.43,aFRR,591.4449999999999
2026-08-11 04:00:00,58.98,58.29,aFRR,670.3349999999999
2026-08-11 08:00:00,89.56,59.47,FCR,895.6
2026-08-11 12:00:00,82.33,77.09,aFRR,886.5350000000001
2026-08-11 16:00:00,61.72,56.6,aFRR,650.9
2026-08-11 20:00:00,57.97,59.4,aFRR,683.0999999999999
2026-08-12 00:00:00,65.01,38.24,FCR,650.1
2026-08-12 04:00:00,80.51,63.01,FCR,805.1
2026-08-12 08:00:00,84.16,57.1,FCR,841.5999999999999
2026-08-12 12:00:00,55.07,55.69,aFRR,640.435
2026-08-12 16:00:00,60.16,58.78,aFRR,675.9699999999999
2026-08-12 20:00:00,47.49,38.19,DA_Arbitrage,585.4200000000001
2026-08-13 00:00:00,58.26,53.41,aFRR,614.2149999999998
2026-08-13 04:00:00,59.68,38.47,FCR,596.8
2026-08-13 08:00:00,72.03,53.04,FCR,720.3
2026-08-13 12:00:00,87.64,51.1,FCR,876.4
2026-08-13 16:00:00,54.53,52.98,aFRR,609.2699999999999
2026-08-13 20:00:00,53.18,20.76,FCR,531.8
